Subject;Menu;engagement;memorization;attraction;workload;Duration;engagementDistance;memorizationDistance;attractionDistance;workloadDistance
74;blinking;34,36214128;5,856432061;-21,57821841;16,22162687;3106000;530,0513655;581,9418028;1664,900764;588,9474146
75;blinking;21,54524706;66,18361064;38,0648413;42,17961333;2359000;548,1650255;1167,717641;1627,171971;830,1795443
76;blinking;31,80301093;26,60190134;-15,68081094;15,61338809;2023000;607,6674569;493,3277623;1163,707534;551,1024519
77;blinking;32,32929645;27,20791639;11,94318557;22,48417035;2109000;556,801037;550,0309074;1166,32062;542,1931354
78;blinking;23,8578811;9,581718859;-10,20468418;12,04944798;1340000;579,8579649;547,8821898;1270,669464;643,937367
79;blinking;11,01372775;27,38551797;-24,89195232;28,54533572;2321000;847,1013235;478,738943;1138,455072;523,4150157
2;bolding;27,25261849;32,38690343;-34,59650494;23,56606845;3703000;641,3100468;560,4573993;1485,601414;604,2058281
3;bolding;35,56432008;21,2808172;66,40156138;30,37903225;1555000;674,7508718;661,3340973;2093,677057;576,9196939
4;bolding;24,15333427;28,58049365;-11,23322965;28,27073279;7484000;700,9018227;841,0952062;1425,757947;878,142916
5;bolding;59,42719164;25,30853231;9,12012287;24,80473423;1703000;759,9014004;497,3708811;1141,399845;614,438801
6;bolding;26,76346416;25,14962821;-51,9434629;36,74333084;3312000;681,7016095;740,2142186;2658,999183;823,5861714
7;bolding;25,75831856;28,24148057;-11,59259607;41,80662894;2695000;608,460848;745,9650643;1159,513784;668,1556141
8;bolding;31,88300436;14,12454305;-12,0756309;16,40919579;26813000;1638,707635;1099,438007;2900,722774;1374,323783
9;bolding;56,66567977;29,64188753;16,40382783;26,83951547;1704000;854,8341073;635,9635971;1307,803663;712,8273669
10;bolding;59,23733808;4,000788149;5,711148071;10,28766946;2085000;850,0362953;785,7540654;1269,846466;902,6802227
11;bolding;33,75316704;30,88786541;0,664851019;40,65897762;4324000;679,4040078;647,0698073;1469,442185;911,8078193
12;bolding;46,33060222;9,4732294;8,206624312;8,962049373;4676000;899,2528482;635,626693;1354,332398;753,7998161
13;bolding;34,13575129;32,52215911;23,15848365;36,4906395;14269000;1516,843233;1287,135292;1994,216688;1466,746817
14;bolding;42,32479768;30,77820196;-7,213019495;15,88327541;6070000;1047,794169;963,4771334;1398,785657;759,6486917
15;bolding;28,56746012;31,8511152;-18,9778031;34,06807331;3097000;766,8435596;590,6505911;1197,846321;613,7534336
16;bolding;42,99590383;21,44993409;8,919064448;19,17618332;9082000;1004,177885;674,7910643;1686,571207;1010,068821
17;bolding;37,78073847;21,19832098;4,852910282;27,69418184;4430000;610,0573559;722,4472708;1286,341544;849,8442072
18;bolding;42,67541905;26,94097449;6,873894216;29,52926293;23457000;1446,920845;1479,916948;3342,438618;1681,810056
19;bolding;19,82607964;39,01547644;-19,54491351;32,16881271;2324000;603,3110451;633,3044918;1359,706322;781,0366169
20;bolding;33,28014697;31,63193849;53,28884173;31,46935921;1813000;601,2757197;749,2138841;1388,704003;687,7459538
21;bolding;33,49028988;19,81779709;46,96714401;17,8755341;2613000;624,6367949;562,2218156;1610,180858;640,4828972
22;bolding;56,10552069;23,04276101;62,17200889;20,77304995;2781000;816,0287158;710,4681838;1857,988714;608,3670561
60;bolding;23,98324859;32,67319745;6,730410679;16,47251527;7984000;865,0717717;953,8593303;1693,760372;664,8966837
61;bolding;20,23813568;17,64384479;-22,43697793;32,39379659;3602000;726,5427799;659,0428884;1306,47219;725,9279942
62;bolding;37,64459321;17,70220504;-2,585944048;18,19295541;10785000;1156,355219;873,3168884;1950,08153;808,2766251
63;bolding;21,85387523;20,08458677;-12,53400526;34,96014834;4508000;627,2536411;543,2153797;1399,614723;786,0648308
64;bolding;50,73124895;2,092273017;7,356189531;3,212936267;1645000;683,9923772;956,1258917;1066,046093;1090,599831
65;bolding;30,55568604;20,47612435;-11,28240096;14,98354668;4910000;639,7038648;587,9749816;1622,961246;675,7681441
66;bolding;5,292254151;46,98196077;-38,18153232;49,97575462;2996000;940,3179717;744,8820464;1300,810788;794,6221106
67;bolding;26,12419675;10,02538595;-6,48195908;60,34090207;1656000;678,0051422;713,8331771;1292,569456;762,0997789
68;bolding;20,01288697;21,77780714;-18,18800749;38,0458606;2609000;711,4306965;516,1887479;1338,087456;672,1946316
70;bolding;55,52167725;7,789606192;-15,72819755;15,11980099;1336000;768,1526278;771,9448858;1253,194287;776,2225777
71;bolding;43,79210822;31,14223262;35,08461066;61,53430996;22321000;1064,597596;982,683148;1421,056998;928,4335773
72;bolding;45,9993934;26,52530798;0,50526235;31,14086744;1500000;715,4601822;678,6914581;1352,82731;792,36214
73;bolding;13,6651831;34,75544517;6,485217091;64,3260575;1566000;774,0103781;641,6957591;1034,34516;775,8224079
74;bolding;27,6178826;13,78920794;1,313821208;17,88055466;1968000;569,4557208;595,0596007;1163,119481;721,5756889
75;bolding;51,52736654;19,10314869;21,6043084;23,40622736;1535000;974,9574208;554,5916409;1337,762259;627,4114218
76;bolding;33,78618365;35,21158477;-32,43421674;30,44542342;2390000;682,78366;609,0536594;1369,504765;634,955764
77;bolding;11,02242657;29,77274067;31,39527678;28,85111444;1414000;862,249488;692,776372;1295,656466;640,6763247
78;bolding;30,41626848;27,80772765;-34,21596187;57,72385266;1910000;783,9957971;599,7312108;1318,788187;842,744778
79;bolding;6,367833246;29,3276246;-27,21996861;21,89709332;1817000;1016,523366;603,9300379;1304,971678;771,0307994
2;boxing;32,39576401;21,78242226;-24,51525496;22,32693547;4027000;508,0055033;521,6481391;1128,905105;584,3214837
3;boxing;42,57240709;30,02662261;43,05807961;18,55502502;2285000;518,2008941;479,0006275;1281,264617;579,9999109
4;boxing;35,10474999;29,48455471;-12,14887656;20,79789589;4652000;595,7617801;798,7762374;1235,192051;645,437014
5;boxing;29,51446368;14,09897485;-30,84180933;9,671958995;2094000;577,2751882;527,2225598;1414,095403;671,4851729
6;boxing;47,25341389;9,751451759;-53,62318841;22,31654971;2152000;555,6804495;581,7920637;2433,970246;603,7245554
7;boxing;38,0653015;13,27566192;39,26565275;38,56379656;2992000;492,162859;591,3989235;1348,065925;568,6773191
8;boxing;42,56244278;11,25629101;-6,865760629;13,99674177;2273000;693,0352224;587,082715;1028,376441;601,2845309
9;boxing;17,74559938;35,53991003;16,29786622;54,12923973;2418000;605,5812696;478,886761;1098,877774;707,0481897
10;boxing;44,13243231;13,15891644;7,393587509;16,64301731;2789000;593,4530939;510,638612;1386,870202;692,5908206
11;boxing;54,43511184;16,02565862;-13,68807145;14,59247135;3547000;671,4809808;560,3530958;982,1985393;546,5574369
12;boxing;44,22810991;6,084792065;11,99970379;11,32083678;4863000;796,7568883;733,6992625;1148,235755;669,0941463
13;boxing;35,07638921;12,43766255;-8,672744868;14,73827246;6493000;734,6682387;576,2730066;1514,254054;590,969499
14;boxing;40,09287449;45,33196093;13,41361451;34,22327092;8527000;1066,130342;1316,577024;1674,765228;1232,157033
15;boxing;54,58939693;29,22267564;-22,58273178;11,91247854;2336000;525,8770019;524,0539732;1049,828312;718,8548591
16;boxing;24,36926484;43,24310398;27,38315127;25,1306166;3371000;499,0999167;727,2807758;1161,432665;523,7994857
17;boxing;43,75067506;16,36901227;-6,25510291;10,65975044;6136000;883,1063843;658,059187;1249,439606;637,2775304
18;boxing;33,90035971;25,07330418;-32,38083341;44,44872394;5773000;773,4743615;755,7554766;1611,115831;772,2658274
19;boxing;12,91800907;50,82228405;-23,92115707;46,68444466;2344000;687,2749795;709,2902576;1424,983917;641,0626443
20;boxing;34,22391037;52,71388999;18,34938747;56,58115144;1676000;493,0207095;841,031218;1272,475985;861,1624456
21;boxing;37,81220473;30,94294013;-3,65679284;34,35060799;4085000;692,7092205;656,3389841;938,50966;599,3359871
22;boxing;36,50619784;15,04605931;42,81976034;13,18551553;5481000;774,3545239;682,9844125;1715,418466;633,1619569
60;boxing;9,185979429;45,43987204;-3,294636352;54,43043501;2711000;762,347918;754,226948;1028,002383;987,9875005
61;boxing;23,1187985;18,0223565;-42,73480188;29,260621;7301000;680,9754672;661,1432567;1672,806178;965,6124534
62;boxing;27,58284913;19,1163131;-2,881595493;34,5075867;4754000;561,2313517;527,2647456;1481,83162;705,0721118
63;boxing;22,93612127;17,65006912;2,134317607;40,02217165;3675000;542,2682531;577,472933;1138,804718;680,5240814
64;boxing;23,62427245;18,31820291;-7,171752328;11,95173299;9816000;739,495751;782,2259144;1607,10277;759,0610931
65;boxing;72,43970063;27,14757506;-16,65280401;42,70489247;3297000;1006,824333;508,7989273;998,6830395;933,9663307
66;boxing;32,6252874;9,254157444;-18,17829312;14,57562126;2703000;606,1965635;610,2217022;1207,679873;543,0187166
67;boxing;33,96780077;8,02995833;-28,11445399;27,73588489;2395000;547,8468573;662,5122562;1331,858272;485,302233
68;boxing;14,86864446;25,72156717;-24,10281525;18,44208418;2765000;638,2784644;631,2155092;1065,338052;657,6846817
70;boxing;51,72944358;11,19430185;-10,31496779;10,68080477;2500000;615,9777063;598,2013015;1153,780799;761,326963
71;boxing;37,32122958;43,5015084;-12,88037637;26,13215068;5676000;766,9322567;1075,875083;1248,241999;721,2223332
72;boxing;29,38006984;18,35401383;2,897399549;36,00708377;2680000;529,9672692;500,3797894;1035,034582;566,0381494
73;boxing;47,90088701;12,52299517;-30,16824616;47,61701376;2133000;548,9815403;589,4235644;966,0643058;831,478025
74;boxing;37,57333859;9,881102353;5,670251459;14,16895811;1992000;461,4437177;646,8840755;1251,852923;715,5863869
75;boxing;60,4484072;25,18157333;59,42770536;35,91230268;2117000;673,9891102;761,4298427;2319,904145;587,8791064
76;boxing;26,23698475;41,86482753;-38,21525192;66,14261304;3938000;516,85596;800,8428511;1376,009419;1051,550244
77;boxing;24,02305053;20,70558944;25,89968555;26,75671067;2633000;587,1593399;495,751553;1235,347646;546,1616406
78;boxing;35,32332716;9,558964897;-50,77320983;23,0053096;1614000;547,1382623;610,7474094;1539,736667;739,435347
79;boxing;21,73932904;8,265118998;-25,74828818;15,32406203;2879000;572,0209326;585,97258;1235,194417;557,3779524
2;colored;42,61804969;24,17866048;-30,21935644;24,30828697;3172000;573,3584416;534,4024575;1571,135695;535,5914503
3;colored;36,29731704;18,47293164;15,75755327;15,85914847;1586000;417,0164846;471,9650867;1097,048661;420,9338392
4;colored;28,85023747;14,65957616;-27,4715204;33,29288091;3797000;633,0486875;544,3870556;1470,713414;562,2446888
5;colored;56,71944872;31,65997646;14,19677982;24,32182324;1598000;643,7816918;620,0318843;946,5454623;392,591957
6;colored;48,40405966;13,30358404;-51,83333333;13,73371997;2340000;708,0065029;524,0026859;2238,686535;525,0446036
7;colored;31,96352601;34,1499046;1,847432224;50,31680705;2824000;441,9315188;551,3996753;1060,842988;673,8211235
8;colored;53,8310242;7,168002737;-12,44013454;7,682273256;2016000;539,4504162;558,325808;1222,777494;590,4322749
9;colored;29,25423533;11,32237527;-10,19032361;19,76259029;1719000;450,7814156;545,4767257;1345,187845;443,5636332
10;colored;60,96733157;5,784967572;44,81808886;13,06432021;1149000;868,4034988;614,2921733;1221,655233;586,5256661
11;colored;22,56488922;33,37437548;2,454213335;24,24622679;3399000;492,4622436;841,5752242;1154,303199;470,6645881
